spp,stockid,year,overfished,overfishing
scomber colias,acmacksarg,2017,FALSE,FALSE
scomber japonicus,cmackpjpn,2015,TRUE,TRUE
scomber japonicus,cmackpjpn,2016,FALSE,TRUE
scomber japonicus,cmackpjpn,2017,FALSE,TRUE
scomber japonicus,cmacktsst,2015,TRUE,TRUE
scomber japonicus,cmacktsst,2016,TRUE,TRUE
scomber japonicus,cmacktsst,2017,TRUE,FALSE
scomber scombrus,mack5ychatt,2015,TRUE,TRUE
scomber scombrus,mack5ychatt,2016,TRUE,TRUE
scomber scombrus,mackneices,2015,FALSE,TRUE
scomber scombrus,mackneices,2016,FALSE,TRUE
scomber scombrus,mackneices,2017,FALSE,TRUE
scomber scombrus,macknwatlsa3-4,2015,TRUE,NA
scomber scombrus,macknwatlsa3-4,2016,TRUE,NA
scomber scombrus,macknwatlsa3-4,2017,TRUE,NA
scophthalmus maximus,turiv,2015,FALSE,FALSE
scophthalmus maximus,turiv,2016,FALSE,FALSE
scophthalmus maximus,turiv,2017,FALSE,FALSE
scorpaena guttata,calscorpscal,2015,FALSE,FALSE
scorpaena guttata,calscorpscal,2016,FALSE,FALSE
